Keyword,Publisher,"Article name","Publish date","Article URL","Scraping date",no_recommendation
"Insulated Tumbler",CinemaBlend,"Shop by capacity","Jan 15, 2021 - 4 Recommendations",/ospublishing/story/3471bb70-698d-4d68-a81e-a96b4d727a2a/ref=sxin_11?cv_ct_we=article-page&pd_rd_w=H4Hjo&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=DRTHZ1AH6V3N8H8A53W8&pd_rd_r=a351fade-f2ee-4bd3-bb3b-b7d5521944d0&pd_rd_wg=eoN5q&qid=1613669574&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.3471bb70-698d-4d68-a81e-a96b4d727a2a.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.3471bb70-698d-4d68-a81e-a96b4d727a2a.ATVPDKIKX0DER.en_US&tag=cinemablend06-20&cv_ct_cx=Insulated+Tumbler,0
"First Aid Kit",,,,,1
"Fire Starter",Advnture,"Best firesteels","Aug 27, 2020 - 4 Recommendations",/ospublishing/story/894e992b-25c8-4e72-a789-9e4d3dccaa25/ref=sxin_10?cv_ct_we=article-page&pd_rd_w=a3pyo&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=9JQ0B6RMF2CR0SCKQDB1&pd_rd_r=c3603ef4-9d71-4ade-9a02-28c89fa0155c&pd_rd_wg=pIb4x&qid=1613669574&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.894e992b-25c8-4e72-a789-9e4d3dccaa25.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.894e992b-25c8-4e72-a789-9e4d3dccaa25.ATVPDKIKX0DER.en_US&tag=advnture0a-20&cv_ct_cx=Fire+Starter,0
"Dry Erase Markers",,,,,1
"Ice Cream Scoop","America's Test Kitchen","The Best Ice Cream Scoops","Nov 10, 2020 - 5 Recommendations",/ospublishing/story/93766971-67c3-46a7-8f5b-cff998198c03/ref=sxin_10?cv_ct_we=article-page&pd_rd_w=CqMQC&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=A4TGB2GHKX9PSCQFQ4QX&pd_rd_r=b1036248-f8d3-4077-a179-d55d85c3f359&pd_rd_wg=wkNRO&qid=1613669574&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.93766971-67c3-46a7-8f5b-cff998198c03.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.93766971-67c3-46a7-8f5b-cff998198c03.ATVPDKIKX0DER.en_US&tag=atkamznsearch-20&cv_ct_cx=Ice+Cream+Scoop,0
"Digital Pianos",,,,,1
"DJ Headphones","Gadget Review","Shop by price","Jul 23, 2020 - 6 Recommendations",/ospublishing/story/fe202d2c-a6d3-467d-90ca-8141f3c3e426/ref=sxin_9?cv_ct_we=article-page&pd_rd_w=CYqBQ&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=1VRJXYWRD0F06N0BV0XZ&pd_rd_r=2ac695a0-f40a-4ae9-aaec-89e6bc4beb55&pd_rd_wg=LjqIw&qid=1613669575&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.fe202d2c-a6d3-467d-90ca-8141f3c3e426.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.fe202d2c-a6d3-467d-90ca-8141f3c3e426.ATVPDKIKX0DER.en_US&tag=gadgetreview-tca-20&cv_ct_cx=DJ+Headphones,0
"Digital Cameras",PCMag,"Shop by price","Jan 28, 2021 - 10 Recommendations",/ospublishing/story/e9460417-d1b0-4f9c-bc9a-d209013deb97/ref=sxin_9?cv_ct_we=article-page&pd_rd_w=ry45O&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=JGE7DJ5CFZSQ4SS18Y68&pd_rd_r=7e72cd28-5c6c-4824-b1bb-ae4a38af799d&pd_rd_wg=7RlxR&qid=1613669575&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.e9460417-d1b0-4f9c-bc9a-d209013deb97.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.e9460417-d1b0-4f9c-bc9a-d209013deb97.ATVPDKIKX0DER.en_US&tag=pcmagcontent-20&cv_ct_cx=Digital+Cameras,0
"Compression Socks",Fit&Well,"Best compression socks","Nov 12, 2020 - 5 Recommendations",/ospublishing/story/ace861e2-a075-4540-a384-4fa0da5baa9a/ref=sxin_9?cv_ct_we=article-page&pd_rd_w=dYfzQ&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=6YV43RXQQTSVHCFX5RGA&pd_rd_r=123c1572-3206-4ced-a215-5147cea99004&pd_rd_wg=up1OT&qid=1613669575&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.ace861e2-a075-4540-a384-4fa0da5baa9a.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.ace861e2-a075-4540-a384-4fa0da5baa9a.ATVPDKIKX0DER.en_US&tag=fitandwelloa-20&cv_ct_cx=Compression+Socks,0
"Bluetooth Speaker",,,,,1
"Camping Lantern",Simplemost,"The Best Camping Lantern","Jul 02, 2020 - 4 Recommendations",/ospublishing/story/1357957b-f2a5-4c35-8ec1-c3ddce8f220d/ref=sxin_9?cv_ct_we=article-page&pd_rd_w=ttMYe&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=2FJCK28FYWCGCHG7XX7N&pd_rd_r=0115b623-9d74-4c3c-9200-20de15a650df&pd_rd_wg=Vjt7L&qid=1613669575&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.1357957b-f2a5-4c35-8ec1-c3ddce8f220d.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.1357957b-f2a5-4c35-8ec1-c3ddce8f220d.ATVPDKIKX0DER.en_US&tag=scrippsonsite-20&cv_ct_cx=Camping+Lantern,0
"Ceiling fan",BGR,"Shop by fan blade size","Sep 17, 2019 - 3 Recommendations",/ospublishing/story/58f36714-043e-408f-b5e4-66dbcf754125/ref=sxin_11?cv_ct_we=article-page&pd_rd_w=LkLEu&pf_rd_p=f4a3aafa-93d3-4be9-a7f4-4d5c2eff701a&pf_rd_r=151QSVQA5VK2Z9C4DVDB&pd_rd_r=d885fbde-849b-42a3-a187-8c47d8a8f1cf&pd_rd_wg=VGFgB&qid=1613669575&cv_ct_pg=search&cv_ct_wn=osp-single-source-earns-comm&ascsubtag=amzn1.osa.58f36714-043e-408f-b5e4-66dbcf754125.ATVPDKIKX0DER.en_US&linkCode=oas&cv_ct_id=amzn1.osa.58f36714-043e-408f-b5e4-66dbcf754125.ATVPDKIKX0DER.en_US&tag=bgr0a0-20&cv_ct_cx=Ceiling+fan,0
